material_id,band_gap,energy,cohesive_energy,space_group,volume,density,nsites,Z_mean,Z_max,Z_var,num_elements,SOC_proxy,EN_range,magmom,is_metal,is_magnetic
matpes-20240214_999485_2,0.0,-16.83287187,-2.4813380500000015,1,22.207063878330768,5.938329950242052,2,18.5,30,132.25,2,406200.5,1.3900000000000001,0.001,True,False
matpes-20240214_999484_70,0.0,-31.68091906,-3.8051087750000008,1,49.736735650264414,4.5663765026631244,2,30.5,39,72.25,2,1273848.5,0.32000000000000006,1.7,True,True
matpes-20240214_999484_47,0.0,-32.38442231,-4.156860399999999,8,50.39207561440581,4.506991589915933,2,30.5,39,72.25,2,1273848.5,0.32000000000000006,1.829,True,True
matpes-20240214_999484_26,0.0,-31.96704216,-3.9481703249999995,1,48.71797204919934,4.661866071994417,2,30.5,39,72.25,2,1273848.5,0.32000000000000006,-2.059,True,False
matpes-20240214_999484_13,0.0,-31.69118226,-3.810240375000001,1,52.71923239142026,4.308041879409014,2,30.5,39,72.25,2,1273848.5,0.32000000000000006,2.245,True,True
matpes-20240214_999484_11,0.0,-31.91259831,-3.9209484000000003,1,48.725461981134195,4.661149463918291,2,30.5,39,72.25,2,1273848.5,0.32000000000000006,1.364,True,True
matpes-20240214_999484_1,0.0,-32.26027911,-4.0947888,6,49.824630700711914,4.558321011083573,2,30.5,39,72.25,2,1273848.5,0.32000000000000006,1.734,True,True
matpes-20240214_999473_52,0.0,-16.31945894,-2.224631585000001,1,21.209844657602364,6.217531276843278,2,18.5,30,132.25,2,406200.5,1.3900000000000001,0.514,True,True
matpes-20240214_999473_47,0.0,-16.64195535,-2.3858797900000006,1,23.867062381997457,5.525308076250709,2,18.5,30,132.25,2,406200.5,1.3900000000000001,0.005,True,False
matpes-20240214_999473_40,0.0,-16.72305548,-2.4264298550000003,1,25.460667722549157,5.179474237387625,2,18.5,30,132.25,2,406200.5,1.3900000000000001,0.7769999999999999,True,True
matpes-20240214_999473_34,0.0,-16.3665591,-2.2481816650000006,1,23.48562351976561,5.615046686950644,2,18.5,30,132.25,2,406200.5,1.3900000000000001,0.40700000000000003,True,True
matpes-20240214_999473_32,0.0,-16.69660048,-2.413202355000001,1,26.4536116526917,4.985061180567068,2,18.5,30,132.25,2,406200.5,1.3900000000000001,0.757,True,True
matpes-20240214_999473_24,0.0,-16.10643938,-2.1181218050000012,1,24.21157338578709,5.446687434739094,2,18.5,30,132.25,2,406200.5,1.3900000000000001,0.002,True,False
